到货情况,产品名称,标题后缀,产品颜色/规格,产品图,,,,尺寸图仅供参考尺寸 颜色以第二列为准,    进货价,核价价格,发货地,上品填写供货价按照进价x2.5,实拍图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,卫生间收纳柜,A026,规格一：3层,"=DISPIMG(""ID_7DE0F0E72ED7495BAFB3F5DC909FF548"",1)",,,,,,进货价三层88  四层113 五层130   核价 249 324 375 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,规格二：4层,"=DISPIMG(""ID_26F09B49F11E4297A22C36F57673D815"",1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,规格三：5层,"=DISPIMG(""ID_C6923998A4B34181B15F9A8A5CD66B2D"",1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,带轮子的滚动洗衣篮,A045/A046,规格一：中号,,"大号105-125
中号100-120","需要注意我们的侧边是没有
可以拉出来的小篮子","上品的时候sku名字跟图片检查好
发货的时候
就不需要备注",,大35小32,100-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,规格一：大号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,三层晾衣架(单管）,A057型号,蓝 粉 灰 黑 （单管现货）,"=DISPIMG(""ID_1B0B8011EBA14B05B1DBA6F3793F98E8"",1)",,,,,39,进货价39 核价110-148,义乌,"=DISPIMG(""ID_E5D3DE6C422349E1AE6E59CD4DBE02E0"",1)","=DISPIMG(""ID_D003491621554ECDA187CA0BE682CB49"",1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,马桶刷 黑色,A061型号 B022,规格一：有托盘带侧杆,"=DISPIMG(""ID_E8F227BEC11A4F05808D17F824536C72"",1)",,,,,50,115-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A061型号 C022,规格二：有托盘不带侧杆,,,,,,48,110-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A062型号  A022,规格三：无托盘带侧杆,"=DISPIMG(""ID_8824F3E70ED848AEB3226475FB42A46A"",1)",,,,,46,105-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A063型号,规格四：全包托盘带侧杆,,,,,,62,143-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,15cm（大号）方形猫砂盆,A055,白/灰/黑  15cm厚度,"=DISPIMG(""ID_D5264558017843D3B30592353ED7EFBB"",1)",,,,,中号70, 大号210-260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,白/灰/黑  17.5cm厚度,,,,,,大号78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,注水式提壶哑铃,A064,粉、蓝、玫红,,,,,,30,75-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,太空人垃圾桶,A065,站姿黑色/红色/奶白色,"=DISPIMG(""ID_E59529F157F74236982A07E6B5C60D62"",1)",,,,,36,90-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,车载储物箱,A066,凳子款全黑,,,,,,93,232-279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不上架,车载储水箱,A067,白色、绿色、黑色,,,,白色暂时没货,,72,160-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,户外便携式帐篷,A068,流沙金两门两窗版中号,,,,,,86,215-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,流沙金两门两窗版大号带防潮垫,,,,,,96,240-288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,2件装木工支撑杆,A069,黄色2件装（这个品只按2件装卖）,,,,,,36,115-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,空灵鼓,A070,黑色/绿色/紫色,,,,,,55,140-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,俯卧撑支撑器,A071,黑色,,,,,,19,80-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无样品,C型滚边储物桌,A072,黑色/胡桃色,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,圆形床头收纳柜,A073,黄色/白色/粉色/红色,,,,,,104,210-260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,战术汽车座椅收纳袋,A074,军绿色/黑色/卡其色,,,,,,102,220-260,,,,,,,,,,,,,"=DISPIMG(""ID_12C329F0EDF14840830C168EA3284F51"",1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,超大彩色垃圾桶,A075,黑色/红色/奶油色,,,,,,80,190-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,瑜伽踏板,A076,红/黄/蓝/灰,,,,,,30,80-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货可上架,午休折叠床,A077,灰色 加固八角款66*190,,,,,,59,225-255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有样品可上品 核价,双门浴室置物柜,A078,白色,,,,,,24,65-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,,A079,拳击球,,,,,,31,80-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,2件装木工支撑杆,A080,木工钳子,,,,,,,110-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,,A081,重型自动收缩带,,,,,,33,90-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,,A082,圣诞树,,,,,,"1.5：25
1.8：44
2.4：93
3：123
","1.5：75
1.8：110-132
2.4：233-279
3：308-369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,6层金属塑料储物柜带防尘罩,A083,黑/白色,,,,,,,110-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无样品 可能需要资质不上,厨房碗碟架,A084,黑色双层全套,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无样品 可能需要资质不上,厨房碗碟架,A085,黑色三层全套,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,车后备箱收纳盒不带木板,A086,黑色,,,,,,36,110-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,宠物楼梯,A087,三步灰色,,,,,,34,110-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,20套塑料花园边栏,A088,黑色/灰色(20pc),,,,,,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,3层带轮洗衣篮,A089,灰色,,,,,,66,165-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,全尺寸人体骨架,A090,90cm/35.43英寸,,,,,,26,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有样品可上品 核价,旋转餐盘,A091,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有样品可上品 核价,,A092,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暂无样品,,A093,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有样品可核价,双层吸盘浴室架,A094,白  灰,,,,,,20,55-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直接上有产品,落地旋转衣架,A095,黑1/2层     白1/2层,,,,,,一层17  二层22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直接上有产品,R形置物架,A096,黑/白,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,钓鱼盲盒,A097,B款,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A098,C款,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,无笑脸旋转椅子,A099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
