序号,产品名称,标题后缀,规格数组,规格单位,进货价,sku实拍图数组,视频链接,到货状态(能上或者不能上),尺码图
1,卫生间收纳柜,A026,"[""3"", ""4"", ""5""]",层,"[""80"", ""100"", ""116""]","[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026.png
2,带轮子的滚动洗衣篮,A045/A046,"[""中号"", ""大号""]",规格,"[""35"",""32""]","[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A046.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.png
3,三层晾衣架(单管）,A057型号,"[""蓝"", ""粉"", ""灰"", ""黑""]",颜色/款式,39,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-3.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-4.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057.png
4,马桶刷 黑色,A061型号 B022,"[""有托盘带侧杆"", ""有托盘不带侧杆"", ""无托盘带侧杆"", ""全包托盘带侧杆""]",规格,50,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-1.png""，""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-3.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-4.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061.png
5,15cm（大号）方形猫砂盆,A055,"[""15"", ""17.5""]",cm,中号70,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055-2.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055.jpg
6,注水式提壶哑铃,A064,"[""粉"", ""蓝"", ""玫红""]",颜色/款式,30,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064.jpg
7,太空人垃圾桶,A065,"[""站姿黑色"", ""红色"", ""奶白色""]",颜色/款式,36,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065.jpg
8,车载储物箱,A066,["凳子款全黑"],颜色/款式,93,["https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.png"],https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.jpg
9,车载储水箱,A067,"[""白色"", ""绿色"", ""黑色""]",颜色/款式,72,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067.png,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067.mp4
10,户外便携式帐篷,A068,"[""流沙金两门两窗版中号"", ""流沙金两门两窗版大号带防潮垫""]",颜色/款式,86,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068-2.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068.png
11,2件装木工支撑杆,A069,["2"],件,36,["https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A069.jpg"],https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A069.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A069.jpg
12,空灵鼓,A070,"[""黑色"", ""绿色"", ""紫色""]",颜色/款式,55,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A070-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A070-2.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A070-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A070.jpg,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A070.mp4
13,俯卧撑支撑器,A071,["黑色"],颜色/款式,19,["https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A071.png"],https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A071.jpg,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A071.mp4
14,C型滚边储物桌,A072,"[""黑色"", ""胡桃色""]",颜色/款式,30,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A072-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A072-2.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A072.mp4,0,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A072.png
15,圆形床头收纳柜,A073,"[""黄色"", ""白色"", ""粉色"", ""红色""]",颜色/款式,104,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073-2.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073-3.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073-4.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A073.jpg
16,战术汽车座椅收纳袋,A074,"[""军绿色"", ""黑色"", ""卡其色""]",颜色/款式,102,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A074-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A074-2.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A074-3.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A074.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A074.jpg
17,超大彩色垃圾桶,A075,"[""黑色"", ""红色"", ""奶油色""]",颜色/款式,80,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A075-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A075-2.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A075-3.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A075.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A075.jpg
18,瑜伽踏板,A076,"[""红"", ""黄"", ""蓝"", ""灰""]",颜色/款式,30,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076-2.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076-3.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076-4.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A076.jpg
19,午休折叠床,A077,"[""灰色"", ""加固八角款66*190""]",颜色/款式,59,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A077.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A077.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A077.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A077.jpg
20,双门浴室置物柜,A078,["白色"],颜色/款式,24,["https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A078.jpg"],https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A078.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A078.jpg
21,拳击球,A079,["拳击球"],颜色/款式,36,["A079.jpg"],,1,
22,木工钳子,A080,["木工钳子"],规格,13,["A080.jpg"],,1,
23,重型自动收缩带,A081,["重型自动收缩带"],规格,38,["A081.jpg"],,1,
24,圣诞树,A082,"[""150"", ""180"", ""240"",""3""]",cm,"[""32"", ""53"", ""99"",""134""]",["A082.jpg"],,1,
25,6层金属塑料储物柜带防尘罩,A083,"[""黑"", ""白色""]",颜色/款式,50,["A083.jpg"],,1,
26,厨房碗碟架,A084,["黑色双层全套"],颜色/款式,23,["A084.jpg"],,1,
27,厨房碗碟架,A085,["黑色三层全套"],颜色/款式,29,["A085.jpg"],,1,
28,车后备箱收纳盒不带木板,A086,["黑色"],颜色/款式,35,["A086.jpg"],,1,
29,宠物楼梯,A087,["三步灰色"],颜色/款式,34,["A087.jpg"],,1,
30,20套塑料花园边栏,A088,"[""黑色20"",""灰色20""]",颜色/pc,31,["A088.jpg"],,1,
31,3层带轮洗衣篮,A089,["白色"],颜色/款式,67,["A089.jpg"],,1,
32,全尺寸人体骨架,A090,["90"],cm,30,["A090.jpg"],,1,
33,旋转餐盘,A091,["灰白"],颜色/款式,68,["A091.jpg"],,1,
34,五层收纳柜,A092,["白色"],颜色/款式,186,["A092.jpg"],,1,
35,爬坡便携收纳箱,A093,,,115,["A093.jpg"],,0,
36,双层吸盘浴室架,A094,"[""白"", ""灰""]",颜色/款式,26,["A094.jpg"],,1,
37,落地旋转衣架,A095,"[""白1/2"", ""灰1/2""]",层,"[""15"", ""20""]",["A095.jpg"],,1,
38,R形置物架,A096,"[""黑"", ""白""]",颜色/款式,15,["A096.jpg"],,1,
39,钓鱼盲盒,A097/A098,"[""B款"", ""C款""]",规格,38,"[""A097.jpg"",""A098.jpg""]",,1,
40,无笑脸旋转椅子,A099,"[""蓝"", ""灰"", ""橙"", ""红""]",颜色/款式,51,["A099.jpg"],,1,
41,充气平衡训练器,WD1,"[""46cm光面波速球粉色"", ""46cm光面波速球 灰色""]",cm/颜色,53,["WD1.jpg"],,1,
42,家用臀腿训练机,WD2,["黑色"],颜色/款式,278,["WD2.jpg"],,1,
43,折叠两用修车凳,WD4,["黑红色"],颜色/款式,75,["WD4.jpg"],,1,
44,多层鞋柜,WD5,"[""黑色9"", ""白色9""]",颜色/层,78,["WD5.jpg"],,1,
45,割草机支撑轮,WD6,["黑色"],颜色/款式,28,["WD6.jpg"],,1,
46,通用摩托车后备箱,WD7,["57"],升,96,["WD7.jpg"],,1,
47,3层亚克力展示柜,WD8,["白色三层展示柜"],颜色/款式,19,["WD8.jpg"],,1,
48,3合1汽车雪铲,WD9,["三合一雪铲"],规格,28,["WD9.jpg"],,1,
49,旋转调味罐收纳架,WD10,["黑色"],颜色/款式,30,["WD10.jpg"],,1,
50,折叠晾衣架,WD11,["篮色"],颜色/款式,46,["WD11.jpg"],,1,
51,手动折叠三轮车,WD12,["白色"],颜色/款式,96,["WD12.jpg"],,1,
52,双排9层鞋架,WD13,["白色双排9"],颜色/款式/层,175,["WD13.jpg"],,1,
53,户外成人折叠泳池,WD14,"[""210"", ""260""]",cm,"[""320"", ""390""]",,,1,
54,润滑枪套装,WD15,["黄色10件"],套,48,["WD15.jpg"],,1,
55,割草机背带,WD16,["黄色"],颜色/款式,29,["WD16.jpg"],,1,
56,脚踏健身器,WD18,["白黑色"],颜色/款式,33,["WD18.jpg"],,1,
57,浴室板,A101,["透明色"],颜色/款式,27,["A101.jpg"],,1,
58,多功能置物架,A100,["白色"],颜色/款式,76,["A100.jpg"],,1,
